RCDTS,School Name,District,City,County,District Type,School Type,Grades Served,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - Non-binary,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Middle Eastern or North African,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Former EL,% Student Enrollment - Never EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% Student Enrollment - Youth in Care,% Student Enrollment - Migrant,% Student Enrollment - Military,% Teachers - White,% Teachers - Black or African American,% Teachers - Hispanic or Latino,% Teachers - Asian,% Teachers - Native Hawaiian or Other Pacific Islander,% Teachers - American Indian or Alaska Native,% Teachers - Two or More Races,% Teachers - MENA,% Out-of-Field Teachers,% Out-of-Field Teachers - High Poverty Schools,% Out-of-Field Teachers - Low Poverty Schools,% 9th Grade on Track - White,% 9th Grade on Track - Black or African American,% 9th Grade on Track - Hispanic or Latino,% 9th Grade on Track - Asian,% 9th Grade on Track - Native Hawaiian or Other Pacific Islander,% 9th Grade on Track - American Indian or Alaska Native,% 9th Grade on Track - Two or More Races,% 9th Grade on Track - MENA,% 9th Grade on Track - Children with Disabilities,% 9th Grade on Track - IEP,% 9th Grade on Track - EL,% 4-year Institution Remediation - ELA,% CRDC School Related Arrests,% Students Assessed for Giftedness  - White,% Students Assessed for Giftedness  - Black or African American,% Students Assessed for Giftedness  - Hispanic or Latino,% Students Assessed for Giftedness  - Asian,% Students Assessed for Giftedness  - Native Hawaiian or Other Pacific Islander,% Students Assessed for Giftedness  - American Indian or Alaska Native,% Students Assessed for Giftedness  - Two or More Race,% Students Assessed for Giftedness  - MENA,% Students Assessed for Giftedness  - IEP,% Students Assessed for Giftedness  - EL,% Students Identified as Gifted  - White,% Students Identified as Gifted  - Black or African American,% Students Identified as Gifted  - Hispanic or Latino,% Students Identified as Gifted  - Asian,% Students Identified as Gifted  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted  - American Indian or Alaska Native,% Students Identified as Gifted  - Two or More Race,% Students Identified as Gifted  - MENA,% Students Identified as Gifted  - IEP,% Students Identified as Gifted  - EL,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - White,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Black or African American,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Asian,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - Two or More Race,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - MENA,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - IEP,% of Students Assessed for Giftedness Taught by Gifted-endorsed Teachers  - EL,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - White,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Black or African American,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Hispanic or Latino,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Asian,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Native Hawaiian or Other Pacific Islander,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - American Indian or Alaska Native,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - Two or More Race,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - MENA,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - IEP,% Students Identified as Gifted Taught by Gifted-endorsed Teachers  - EL
32-046-0060-26-0001,Grant Park High School,Grant Park CUSD 6,Grant Park,Kankakee,Unit District,High School,9 - 12,54.0,46.0,,82.3,,15.3,,,,,,15.3,10.5,,,93.5,41.1,,,,,100.0,,,,,,,,26.5,,,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34-049-1270-16-0001,Grayslake Central High School,Grayslake CHSD 127,Grayslake,Lake,High School District,High School,9 - 12,51.3,,,57.8,6.4,22.4,7.9,,,5.3,,25.2,15.3,9.2,15.1,75.8,14.3,,,,,90.7,,7.1,0.9,,,0.9,,2.9,,,95.6,87.5,97.2,100.0,,,92.3,,92.2,91.9,97.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34-049-1270-16-0002,Grayslake North High School,Grayslake CHSD 127,Grayslake,Lake,High School District,High School,9 - 12,52.2,,,48.0,6.6,36.6,4.1,,,4.1,,23.6,14.9,13.1,21.1,65.7,22.3,,,,,85.5,1.1,9.9,,,,2.1,,4.8,,,95.1,100.0,98.1,100.0,,,100.0,,91.4,88.9,100.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-097-0010-26-0003,Grayville Jr Sr High School,Grayville CUSD 1,Grayville,White,Unit District,High School,6 - 12,50.4,49.6,,98.6,,,,,,,,28.4,24.1,,,100.0,52.5,19.9,,,,80.8,,,,,,,,11.9,,,71.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-031-0100-26-0001,Greenfield High School,Greenfield CUSD 10,Greenfield,Greene,Unit District,High School,9 - 12,48.1,51.9,,100.0,,,,,,,,19.2,14.4,,,100.0,32.7,,,,,89.9,,,,,,,,8.7,,,88.9,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-065-2000-26-0001,Greenview Jr/Sr High School,Greenview CUSD 200,Greenview,Menard,Unit District,High School,6 - 12,51.9,48.1,,,,,,,,,,26.4,17.9,,,100.0,35.8,,,,,92.0,,,,,,,,16.9,,,79.2,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-075-0040-26-0002,Griggsville-Perry High School,Griggsville-Perry CUSD 4,Griggsville,Pike,Unit District,High School,9 - 12,58.1,41.9,,96.5,,,,,,,,16.3,16.3,,,,43.0,,,,,100.0,,,,,,,,32.4,,,93.3,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-006-5020-17-0001,Hall High School,Hall HSD 502,Spring Valley,Bureau,High School District,High School,9 - 12,55.8,,,63.2,,33.7,,,,,,21.8,17.1,14.2,6.1,79.7,57.6,,,,,94.1,,2.9,,,,,,10.7,,,98.2,,91.7,,,,,,93.3,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-034-3280-24-0001,Hamilton High School,Hamilton CCSD 328,Hamilton,Hancock,Unit District,High School,9 - 12,49.2,50.8,,88.4,,,,,,7.4,,18.0,18.0,,,,47.1,,,,,100.0,,,,,,,,23.5,,,94.0,,,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-033-0100-26-0002,Hamilton County Jr/Sr High School,Hamilton Co CUSD 10,Mc Leansboro,Hamilton,Unit District,High School,7 - 12,54.4,,,96.6,,2.3,,,,,,17.0,13.2,,,,52.4,15.5,,,,97.0,,3.0,,,,,,14.6,,,93.7,,,,,,,,100.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-035-0010-26-0003,Hardin County High School,Hardin County CUSD 1,Elizabethtown,Hardin,Unit District,High School,9 - 12,50.9,49.1,,94.2,,,,,,,,19.1,18.5,,,100.0,52.0,13.3,,,,100.0,,,,,,,,17.2,,,90.2,,,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-101-1220-22-0002,Harlem High School,Harlem UD 122,Machesney Park,Winnebago,Unit District,High School,9 - 12,53.8,46.2,,65.3,7.5,17.0,,,,8.5,,27.1,21.4,6.8,4.9,88.3,54.2,2.2,0.5,,1.4,94.1,,2.2,1.5,0.7,0.7,0.7,,1.6,,,78.5,60.0,77.9,,,,65.8,,64.9,66.3,83.9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-083-0030-26-0001,Harrisburg High School,Harrisburg CUSD 3,Harrisburg,Saline,Unit District,High School,9 - 12,54.4,45.6,,78.8,5.0,5.6,,,,9.3,,17.4,17.4,,,,60.2,16.0,,,,100.0,,,,,,,,12.9,,,96.1,,,,,,91.7,,94.1,94.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-054-0210-26-0001,Hartsburg-Emden Jr-Sr High School,Hartsburg Emden CUSD 21,Hartsburg,Logan,Unit District,High School,6 - 12,47.6,52.4,,96.4,,,,,,,,19.0,,,,100.0,44.0,,,,,100.0,,,,,,,,24.1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-063-0500-26-0001,Harvard High School,Harvard CUSD 50,Harvard,McHenry,Unit District,High School,9 - 12,,50.1,,23.8,,74.4,,,,,,13.3,13.3,39.6,24.3,36.1,44.5,2.0,,,,81.7,,18.3,,,,,,7.6,,,82.6,,80.9,,,,,,85.7,85.7,79.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-060-1260-26-0001,Havana High School,Havana CUSD 126,Havana,Mason,Unit District,High School,9 - 12,51.7,,,95.4,,,,,,,,21.3,20.8,,,98.3,46.3,6.3,,,,96.8,,,,,,,,11.1,,,100.0,,,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-059-0050-26-0001,Henry-Senachwine High School,Henry-Senachwine CUSD 5,Henry,Marshall,Unit District,High School,9 - 12,53.9,46.1,,94.3,,,,,,,,15.6,15.6,,,,46.1,,,,,100.0,,,,,,,,6.7,,,94.4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-010-0080-26-0001,Heritage High School,Heritage CUSD 8,Broadlands,Champaign,Unit District,High School,9 - 12,55.0,45.0,,86.7,,,,,,9.2,,13.3,11.7,,,,48.3,,,,,100.0,,,,,,,,2.5,,,95.2,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-100-0040-26-0001,Herrin High School,Herrin CUSD 4,Herrin,Williamson,Unit District,High School,9 - 12,53.4,46.6,,83.6,4.7,,,,,7.2,,14.2,14.2,,,98.1,57.5,5.4,,,,94.3,1.9,3.8,,,,,,5.8,,,96.2,,,,,,100.0,,95.5,95.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-046-0020-26-0001,Herscher High School,Herscher CUSD 2,Herscher,Kankakee,Unit District,High School,9 - 12,54.8,45.2,,92.4,,4.1,,,,,,17.4,11.6,,,96.3,27.9,,,,,94.4,,,2.8,,,,,4.5,,,96.1,,,,,,,,83.3,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-064-0040-26-0001,Heyworth High School,Heyworth CUSD 4,Heyworth,McLean,Unit District,High School,7 - 12,50.5,49.5,,93.3,,3.4,,,,2.8,,18.7,8.5,,,,21.5,,,,,92.7,,,,,,,,1.0,,,96.7,,,,,,,,100.0,,,,0.0,94.8,,92.9,,,,92.3,,92.9,,94.8,,92.9,,,,92.3,,92.9,,,,,,,,,,,,,,,,,,,,,
16-019-4260-26-0003,Hiawatha Jr/Sr High School,Hiawatha CUSD 426,Kirkland,Dekalb,Unit District,High School,6 - 12,49.3,50.7,,78.5,,13.7,,,,5.4,,27.3,21.5,,,93.2,45.9,,,,,100.0,,,,,,,,8.8,,,93.3,,,,,,,,92.9,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-057-0050-26-0001,Highland High School,Highland CUSD 5,Highland,Madison,Unit District,High School,9 - 12,52.0,48.0,,89.8,,4.7,,,,3.8,,20.1,16.6,,,99.2,25.0,2.0,,,,98.2,,,1.8,,,,,6.4,,,96.8,,,,,,92.3,,90.2,91.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-068-0030-26-0001,Hillsboro High School,Hillsboro CUSD 3,Hillsboro,Montgomery,Unit District,High School,9 - 12,52.9,47.1,,93.5,,3.1,,,,,,22.7,21.5,,,,35.2,,,,,100.0,,,,,,,,13.7,,,95.7,,,,,,,,91.7,90.9,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-019-4290-26-0003,Hinckley-Big Rock High School,Hinckley Big Rock CUSD 429,Hinckley,Dekalb,Unit District,High School,9 - 12,48.3,51.7,,79.1,,16.6,,,,,,16.6,10.9,,,91.5,25.6,,,,,60.7,,,,,,,,2.8,,,97.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-022-0860-17-0001,Hinsdale Central High School,Hinsdale Twp HSD 86,Hinsdale,Dupage,High School District,High School,9 - 12,50.9,49.1,,59.8,2.6,9.8,20.9,,,6.2,0.6,22.4,9.1,4.3,10.8,85.0,8.7,,,,,86.7,,4.1,4.2,,0.6,1.6,,3.7,,,98.0,100.0,98.3,100.0,,,100.0,100.0,95.6,89.1,100.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-022-0860-17-0002,Hinsdale South High School,Hinsdale Twp HSD 86,Darien,Dupage,High School District,High School,9 - 12,53.9,46.1,,48.0,17.5,18.8,10.0,,,5.1,,23.9,15.5,6.6,14.0,79.5,32.3,1.7,,,,94.4,0.9,0.9,1.9,,0.9,,,5.7,,,99.3,93.2,91.5,100.0,,,100.0,,96.8,94.9,87.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-016-2330-16-0001,Homewood-Flossmoor High School,Homewood Flossmoor CHSD 233,Flossmoor,Cook,High School District,High School,9 - 12,52.2,,,11.6,73.8,9.8,0.4,,,4.3,,12.5,12.5,2.2,3.4,94.4,15.4,1.4,,,0.8,74.8,18.0,3.9,0.5,,,1.6,,1.3,,,96.6,91.5,95.3,,,,93.1,,86.4,86.4,93.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-101-2070-16-0001,Hononegah CHD High School,Hononegah CHD 207,Rockton,Winnebago,High School District,High School,9 - 12,50.7,49.3,,78.7,1.9,11.5,,,,6.6,,21.2,13.4,1.9,1.9,96.2,24.1,0.6,,,0.6,97.3,,0.9,,,,1.8,,5.3,,,93.1,,89.1,,,,86.7,,87.2,88.9,,,0.0,75.4,56.8,68.6,,,,71.8,,74.4,65.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-092-0110-26-0005,Hoopeston Area High School,Hoopeston Area CUSD 11,Hoopeston,Vermilion,Unit District,High School,9 - 12,49.7,50.3,,71.5,3.7,22.8,,,,,,25.2,18.5,,,,56.4,5.7,,,,87.3,,3.4,9.3,,,,,11.7,,,90.9,,,,,,,,90.0,93.8,,,0.0,25.7,,23.9,,,,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-063-1580-22-0002,Huntley High School,Huntley Community School District 158,Huntley,McHenry,Unit District,High School,9 - 12,,49.8,,71.8,3.2,12.8,7.3,,,4.3,,21.0,11.7,5.4,9.9,84.6,18.9,,,,0.7,94.7,0.3,1.5,2.8,,,0.7,,4.1,,,92.8,82.6,87.6,94.4,,,93.3,,78.2,75.0,84.6,,0.0,94.8,91.6,91.4,94.9,,,98.4,,95.4,82.2,18.2,,,23.4,,,18.7,,3.1,,5.5,,5.6,7.9,,,,,3.6,6.9,0.9,,,,,,,,,
12-017-0010-26-0001,Hutsonville High School,Hutsonville CUSD 1,Hutsonville,Crawford,Unit District,High School,9 - 12,39.5,60.5,,93.4,,,,,,,,15.8,,,,100.0,47.4,,,,,77.3,,7.6,,,,,,22.0,,,84.2,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-072-3210-26-0007,Il Valley Central High School,Il Valley Central USD 321,Chillicothe,Peoria,Unit District,High School,9 - 12,55.0,45.0,,89.6,,3.7,,,,4.3,,15.2,15.2,,,98.6,43.1,,,,,93.8,,,2.3,,,,,18.3,,,91.3,,,,,,,,83.3,83.3,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-072-3270-26-0008,Illini Bluffs High School,Illini Bluffs CUSD 327,Glasford,Peoria,Unit District,High School,9 - 12,48.5,51.5,,90.7,,4.2,,,,,,13.5,9.7,,,100.0,22.4,,,,,100.0,,,,,,,,0.7,,,96.2,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-060-1890-26-0001,Illini Central High School,Illini Central CUSD 189,Mason City,Mason,Unit District,High School,9 - 12,45.6,54.4,,95.9,,,,,,,,28.1,18.1,,,,38.0,,,,,92.8,,,,,,,,13.3,,,95.3,,,,,,,,93.3,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-034-3070-16-0001,Illini West High School,Illini West H S Dist 307,Carthage,Hancock,High School District,High School,9 - 12,54.2,45.8,,91.9,,4.3,,,,,,15.4,15.4,,,95.4,53.3,4.3,,,,100.0,,,,,,,,6.4,,,94.6,,,,,,,,92.9,92.9,,,0.0,12.8,,,,,,,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65-108-9030-80-0001,Illinois Mathematics and Science Academy,Illinois Mathematics & Science Academy,Aurora,State Of Illinois,Administrative Agent,High School,10 - 12,50.2,,,23.6,9.1,12.5,50.3,,,4.1,,,,,,87.2,,,,,,65.6,3.3,8.2,22.9,,,,,,,,,,,,,,,,,,,,0.0,10.0,21.7,12.3,42.9,,,,,,,8.0,18.3,,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,
16-019-4250-26-0001,Indian Creek High School,Indian Creek CUSD 425,Shabbona,Dekalb,Unit District,High School,9 - 12,51.0,49.0,,79.5,,14.7,,,,,,12.0,12.0,,,93.1,38.2,,,,,97.7,,2.3,,,,,,53.0,,,92.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-022-2040-26-0005,Metea Valley High School,Indian Prairie CUSD 204,Aurora,Dupage,Unit District,High School,9 - 12,51.8,48.2,,28.1,14.6,13.4,38.6,,,5.1,,15.1,9.2,9.9,23.0,67.1,20.9,0.7,,,,87.3,2.8,4.6,4.2,,1.1,,,2.8,,,97.5,79.2,89.1,98.8,,,90.3,,87.2,82.0,91.1,,0.1,100.0,98.7,99.7,100.0,,,99.3,,98.1,100.0,65.7,40.9,49.2,88.2,,,59.4,,16.7,28.2,,,,,,,,,,,,,,,,,,,,
19-022-2040-26-0002,Neuqua Valley High School,Indian Prairie CUSD 204,Naperville,Dupage,Unit District,High School,9 - 12,51.6,48.4,,40.6,5.6,7.6,42.2,,,,,13.9,6.5,5.0,18.3,76.7,9.4,,,,,88.5,1.5,3.5,4.5,0.5,,1.0,0.5,3.3,,,97.2,87.8,93.3,98.8,,,96.9,,90.9,89.3,92.5,,0.0,100.0,98.9,100.0,100.0,,,100.0,,99.6,100.0,68.1,52.7,61.9,89.5,,,73.6,,22.7,30.7,,,,,,,,,,,,,,,,,,,,
19-022-2040-26-0001,Waubonsie Valley High School,Indian Prairie CUSD 204,Aurora,Dupage,Unit District,High School,9 - 12,51.1,,,33.5,10.4,19.8,31.1,,,5.0,,14.5,9.6,8.7,22.6,68.7,20.2,0.5,,,,87.7,1.7,5.1,3.8,,0.6,1.1,,1.6,,,96.7,79.7,84.8,99.2,,,92.7,,89.4,92.0,82.2,,0.2,99.9,99.4,100.0,100.0,,,100.0,,99.4,100.4,66.5,50.0,50.8,88.5,,,63.9,,23.1,27.7,,,,,,,,,,,,,,,,,,,,
15-016-9050-25-001C,Intrinsic 2 Charter High School,Intrinsic 2 Charter High School,Chicago,Cook,Unit District,High School,9 - 12,47.4,52.6,,2.7,45.1,43.9,5.2,,,2.5,,16.3,16.3,19.1,12.3,68.7,43.2,1.8,,,,42.6,19.5,28.7,6.1,,,3.0,,,,,,87.8,93.3,100.0,,,,,94.4,94.4,93.8,,0.0,,,3.1,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-038-0090-26-0001,Watseka Comm High School,Iroquois County CUSD 9,Watseka,Iroquois,Unit District,High School,9 - 12,50.4,,,79.6,,15.4,,,,,,17.1,17.1,,,91.8,55.0,,,,,93.7,,0.2,2.5,,,,,2.6,,,89.5,,80.0,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-038-0100-26-0001,Iroquois West High School,Iroquois West CUSD 10,Gilman,Iroquois,Unit District,High School,9 - 12,54.3,45.7,,64.6,,29.6,,,,4.5,,16.5,16.5,7.8,9.1,83.1,51.0,,,,,95.7,4.3,,,,,,,6.0,,,93.5,,100.0,,,,,,78.6,78.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65-108-9010-80-0001,University High School,ISU  Laboratory Schools,Normal,State Of Illinois,Administrative Agent,High School,9 - 12,,52.2,,70.9,5.6,7.7,8.0,,,7.8,,,,,,96.6,2.4,,,,,77.8,,4.7,,,,,,,,,96.5,,83.3,100.0,,,100.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-016-2010-17-0001,J Sterling Morton East High Sch,J S Morton HSD 201,Cicero,Cook,High School District,High School,10 - 12,51.0,49.0,,1.1,1.7,95.5,,,1.3,,,11.2,9.6,45.7,35.1,19.2,87.1,4.3,,,,65.1,1.1,31.4,2.2,,,,,3.9,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-016-2010-17-0003,J Sterling Morton Freshman Cntr,J S Morton HSD 201,Cicero,Cook,High School District,High School,9,50.5,,,,2.0,96.9,,,,,,13.3,12.0,50.1,25.3,24.6,92.8,3.1,,,,63.6,1.3,33.7,1.3,,,,,3.6,,,,83.3,94.0,,,,,,92.3,94.1,92.4,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-016-2010-17-0002,J Sterling Morton West High Sch,J S Morton HSD 201,Berwyn,Cook,High School District,High School,9 - 12,52.6,47.4,,6.0,6.5,85.1,1.2,,,1.0,,20.5,17.2,28.2,24.8,47.0,78.1,1.9,0.4,,,78.7,2.8,14.9,3.6,,,,,3.3,,,85.7,91.7,92.0,,,,,,81.4,79.8,90.8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-069-1170-22-0014,Jacksonville High School,Jacksonville SD 117,Jacksonville,Morgan,Unit District,High School,9 - 12,50.6,49.4,,74.1,10.4,4.5,1.3,,,9.4,,26.3,21.0,4.3,2.3,93.4,52.5,1.7,,,,100.0,,,,,,,,10.7,,,92.1,61.1,,,,,89.5,,98.1,100.0,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-040-0010-26-0001,Newton Comm High School,Jasper County CUD 1,Newton,Jasper,Unit District,High School,9 - 12,49.6,50.4,,94.0,,3.7,,,,,,6.7,6.7,,,97.8,39.2,,,,,100.0,,,,,,,,8.4,,,94.9,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-042-1000-26-0001,Jersey Comm High School,Jersey CUSD 100,Jerseyville,Jersey,Unit District,High School,8 - 12,49.3,50.7,,91.5,,3.2,1.1,,,3.2,,13.9,9.7,,,98.7,38.0,1.2,,,,96.7,1.7,1.7,,,,,,5.1,,,93.8,,,,,,,,93.9,92.3,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-063-0120-26-0002,Johnsburg High School,Johnsburg CUSD 12,Johnsburg,McHenry,Unit District,High School,9 - 12,53.3,46.7,,83.6,,10.0,,,,4.3,,25.6,15.4,3.1,3.9,93.0,31.4,,,,,97.5,,,2.5,,,,,3.9,,,93.9,,81.3,,,,,,85.7,77.8,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-100-0010-26-0001,Johnston City High School,Johnston City CUSD 1,Johnston City,Williamson,Unit District,High School,9 - 12,54.6,45.4,,90.2,,4.0,,,,4.9,,15.6,11.7,,,99.4,50.0,3.1,,,,100.0,,,,,,,,10.6,,,92.5,,,,,,,,100.0,100.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-2040-17-0001,Joliet Central High School,Joliet Twp HSD 204,Joliet,Will,High School District,High School,9 - 12,50.3,49.7,,10.4,14.3,72.8,,,,2.1,,19.9,15.9,32.3,18.5,49.2,78.3,2.7,0.3,,,80.0,5.4,9.9,0.5,,,,,0.4,,,85.5,64.3,78.1,,,,72.7,,71.7,73.8,72.0,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-099-2040-17-0003,Joliet West High School,Joliet Twp HSD 204,Joliet,Will,High School District,High School,9 - 12,47.6,52.4,,24.7,21.6,47.9,1.5,,,4.2,,19.5,12.8,17.8,13.2,69.0,59.7,3.0,,,,83.5,2.3,10.2,1.1,0.6,,,,2.8,,,93.9,83.7,83.7,90.9,,,91.4,,85.8,83.8,79.6,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-061-0380-26-0001,Joppa Jr & Sr High School,Joppa-Maple Grove UD 38,Joppa,Massac,Unit District,High School,7 - 12,46.7,53.3,,93.3,,,,,,,,28.0,13.3,,,100.0,60.0,,,,,89.6,,,10.4,,,,,45.6,,,80.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-045-3020-26-0001,Kaneland Senior High School,Kaneland CUSD 302,Maple Park,Kane,Unit District,High School,9 - 12,52.7,47.3,,74.1,2.5,17.8,2.0,,,3.3,,25.0,13.1,3.3,3.9,92.7,18.8,0.9,,,,98.8,,1.2,,,,,,4.0,,,92.1,,86.8,90.9,,,,,84.1,81.1,76.9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-046-1110-25-0014,Kankakee High School,Kankakee SD 111,Kankakee,Kankakee,Unit District,High School,9 - 12,49.5,50.5,,14.3,43.8,38.8,,,,,,14.3,14.3,21.4,12.9,65.8,89.7,1.8,,1.3,,60.7,28.1,5.3,3.8,,,2.1,,26.8,,,82.5,74.6,,,,,83.6,,81.8,81.8,83.9,,0.0,53.0,57.4,,,,,62.8,,47.9,51.0,27.4,7.6,,,,,13.4,,,,10.0,10.4,,,,,7.0,,6.3,7.0,5.2,,,,,,2.0,,,
11-023-0030-26-0001,Kansas High School,Kansas CUSD 3,Kansas,Edgar,Unit District,High School,7 - 12,54.2,45.8,,90.3,,,,,,,,16.7,16.7,,,100.0,62.5,,,,,85.0,,,,,,,,14.4,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
