school_name,school_id,year,x_enrollment,n_black,n_white,n_hispanic,n_low_income,county_enrollment,county_n_black,county_n_white,county_n_hispanic,county_n_low_income,pct_black_school,pct_white_school,pct_hispanic_school,pct_low_income_school,pct_black_county,pct_white_county,pct_hispanic_county,pct_low_income_county,seg_black,seg_white,seg_hispanic,seg_low_income,rr_black,rr_white,rr_hispanic,rr_low_income
New Trier Township H S Winnetka  ,05-016-2030-17-0001,2016,3025.0,18,2574,115,103,202153.0,53396,60264,72076,118333,0.0059504132231404955,0.850909090909091,0.03801652892561983,0.03404958677685951,0.264136569825825,0.2981108368414023,0.35654182722987043,0.5853635612630038,0.2581861566026845,0.5527982540676886,0.3185252983042506,0.5513139744861443,0.022527790177120394,2.8543380036928423,0.10662571968340122,0.05816827187430792
New Trier Township H S Winnetka  ,05-016-2030-17-0001,2017,2960.0,18,2513,112,104,214388.0,58760,58066,79985,127304,0.006081081081081081,0.8489864864864864,0.03783783783783784,0.03513513513513514,0.27408250461779576,0.27084538313711587,0.37308524730861803,0.5938018918969346,0.2680014235367147,0.5781411033493706,0.3352474094707802,0.5586667567617994,0.022187045793240486,3.1345798722981586,0.10141874574455684,0.05916979318286426
New Trier Township H S Winnetka,05-016-2030-17-0001,2018,2934.0,18,2459,109,109,214766.0,57263,56658,82313,126859,0.006134969325153374,0.8381049761417859,0.03715064758009543,0.03715064758009543,0.2666297272380172,0.26381270778428617,0.38326830131398826,0.5906847452576293,0.2604947579128638,0.5742922683574998,0.3461176537338928,0.5535340976775338,0.02300932228639592,3.1768938774059583,0.09693117707028993,0.0628942052056754
New Trier Township H S Winnetka,05-016-2030-17-0001,2019,2963.0,18,2367,145,124,213394.0,55511,55637,82711,121341,0.006074924063449207,0.7988525143435707,0.04893688828889639,0.041849476881538984,0.26013383694012016,0.26072429402888553,0.38759758943550426,0.5686242349831767,0.25405891287667093,0.5381282203146852,0.33866070114660785,0.5267747581016378,0.023353071383972187,3.063974215824576,0.1262569469541023,0.07359777214345628
New Trier Township H S Winnetka,05-016-2030-17-0001,2020,3034.0,18,2367,209,100,213127.0,54361,56586,83401,121674,0.005932762030323006,0.7801582069874753,0.06888595912986156,0.03295978905735003,0.2550638820984671,0.26550366682776,0.39132066795854115,0.5708990414166202,0.24913112006814409,0.5146545401597153,0.3224347088286796,0.5379392523592701,0.023259906426236664,2.9384084080977564,0.17603455368005186,0.05773313084492857
New Trier Township H S Winnetk,05-016-2030-17-0001,2021,2998.0,12,2338,207,117,214047.0,54702,55045,84985,119674,0.004002668445630421,0.7798532354903269,0.06904603068712475,0.0390260173448966,0.25556069461379977,0.2571631464117694,0.39703896807710454,0.5591015057440656,0.25155802616816936,0.5226900890785575,0.3279929373899798,0.520075488399169,0.015662300697997417,3.0325233081478427,0.17390240313569447,0.06980130967982254
New Trier Township H S Winnetka,05-016-2030-17-0001,2022,2960.0,18,2285,213,95,214727.0,54973,53880,86275,119290,0.006081081081081081,0.7719594594594594,0.07195945945945946,0.03209459459459459,0.2560134496360495,0.2509232653555445,0.40178924867389754,0.5555426192327932,0.24993236855496842,0.521036194103915,0.32982978921443806,0.5234480246381986,0.02375297504770155,3.0764762221854367,0.1790975236320064,0.05777161550434666
New Trier Township H S Winnetka,05-016-2030-17-0001,2023,2821.0,17,2141,220,99,211933.0,53373,52636,86325,118949,0.006026231832683446,0.7589507266926622,0.07798652959943282,0.03509393831974477,0.2518390245973963,0.24836151047736785,0.4073221253886842,0.5612575672500272,0.24581279276471288,0.5105892162152943,0.32933559578925137,0.5261636289302825,0.02392890395885749,3.055830693064746,0.19146156012275234,0.06252733213325432
New Trier Township H S Winnetka,05-016-2030-17-0001,2024,2759.0,22,2078,229,99,210612.0,52648,51800,86482,117471,0.007973903588256614,0.7531714389271476,0.0830010873504893,0.035882566147154765,0.24997625966231743,0.24594989839135473,0.4106223766926861,0.5577602415816763,0.24200235607406081,0.5072215405357928,0.3276212893421968,0.5218776754345215,0.03189864349129885,3.062296198751436,0.20213483741196148,0.06433331648989589
New Trier Township H S Winnetka,05-016-2030-17-0001,2025,2730.0,22,2001,235,134,208640.0,50846,49298,86055,116033,0.00805860805860806,0.7329670329670329,0.08608058608058608,0.04908424908424908,0.24370207055214724,0.23628259202453988,0.4124568634969325,0.5561397622699387,0.23564346249353918,0.49668444094249303,0.32637627741634645,0.5070555131856895,0.033067458312315334,3.10207801043129,0.20870203334906143,0.08825883782146224
