school,year,D_black_white,D_lowincome_notlowincome,D_white_hispanic
EPIC Academy High School,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
EPIC Academy High School,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
EPIC Academy High School         ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
EPIC Academy High School         ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
East Leyden High School,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
East Leyden High School,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
East Leyden High School,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
East Leyden High School,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
East Leyden High School,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
East Leyden High School,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
East Leyden High School,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
East Leyden High School,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
East Leyden High School          ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
East Leyden High School          ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Elk Grove High School,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
Elk Grove High School,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
Elk Grove High School,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Elk Grove High School,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Elk Grove High School,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Elk Grove High School,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Elk Grove High School,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Elk Grove High School,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Elk Grove High School            ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
Elk Grove High School            ,2017,0.7865127144466507,0.6084814665314048,0.6303904112872264
Elmwood Park High School,2018,0.7864616524779631,0.5877897656269258,0.6230274556540557
Elmwood Park High School,2019,0.7839074603594075,0.5542569409271805,0.6247704774800023
Elmwood Park High School,2020,0.7873785595622814,0.5458890801078016,0.6231312056700935
Elmwood Park High School,2021,0.7967067793961019,0.5492514836824691,0.6148661607598671
Elmwood Park High School,2022,0.7965876587239,0.5284115178179017,0.6101835313650843
Elmwood Park High School,2023,0.7939227726308796,0.5118302351061063,0.6030007625551171
Elmwood Park High School,2024,0.7885703578630185,0.5226036612987716,0.5984771053748413
Elmwood Park High School,2025,0.7828371078077657,0.5053128806800504,0.5947474157648664
Elmwood Park High School         ,2016,0.7582594210265702,0.575559100801645,0.6026948148460517
