x_POP20,School Name,district,county,school_type,grades_served,year,y_chronic_abs,y_ela_prof,y_grad_4yr,y_math_prof,x_ap_coursework,x_attendance_rate,x_dropout_rate,x_enrollment,x_mobility_rate,x_pct_asian,x_pct_black,x_pct_el,x_pct_hispanic,x_pct_homeless,x_pct_iep,x_pct_low_income,x_pct_white,x_suspension_rate,x_teacher_attendance,x_teacher_retention,x_D_black_white,x_D_lowincome_notlowincome,x_D_white_hispanic,x_median_hh_income,x_total_n_hh,x_hh_under_0.5_pov,x_hh_between_0.5_0.74_pov,x_hh_between_0.75_0.99_pov,x_hh_between_1.00_to_1.24_pov,x_hh_between_1.25_to_1.49_pov,x_hh_between_1.50_to_1.74_pov,x_hh_between_1.75_to_1.84_pov,x_hh_between_1.85_to_1.99_pov,x_hh_between_2.00_to_2.99_pov,x_hh_between_3.00_to_3.99_pov,x_hh_between_4.00_to_4.99_pov,x_hh_between_5.00_and_over_pov,x_pov_share_under_1_00,x_Urban,x_LILATracts_1And10,x_LILATracts_halfAnd10,x_LILATracts_1And20,x_LILATracts_Vehicle,x_LowIncomeTracts,x_LA1and10,x_LAhalfand10,x_LA1and20,x_transport_length
6503.0,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2020,24.2,,89.0,,690.0,92.3,1.7,1826.0,6.7,31.9,4.2,15.9,20.2,0.9,12.3,37.7,41.2,18.8,,90.5,0.7873785595622814,0.5458890801078016,0.6231312056700935,104222.0,1556.0,21.0,0.0,9.0,0.0,14.0,22.0,0.0,54.0,42.0,160.0,171.0,1063.0,0.0192802056555269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6503.0,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2021,27.1,31.1,92.8,26.0,690.0,90.5,0.8,1834.0,4.6,32.3,4.5,17.8,21.3,1.4,14.3,27.5,40.0,18.8,,90.5,0.7967067793961019,0.5492514836824691,0.6148661607598671,117900.0,1663.0,21.0,0.0,11.0,14.0,14.0,21.0,0.0,68.0,26.0,128.0,244.0,1116.0,0.0192423331328923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6503.0,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2022,37.8,27.2,93.3,29.2,,88.7,1.0,1834.0,8.8,31.1,4.9,20.0,25.1,1.0,14.7,38.7,35.7,,,91.3,0.7965876587239,0.5284115178179017,0.6101835313650843,144931.0,1745.0,14.0,0.0,10.0,21.0,26.0,26.0,0.0,57.0,25.0,150.0,218.0,1198.0,0.0137535816618911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6503.0,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2023,31.3,29.1,89.2,23.1,690.0,90.1,1.7,1816.0,11.1,29.3,5.4,21.9,24.9,1.3,13.4,38.6,37.6,18.8,,93.1,0.7939227726308796,0.5118302351061063,0.6030007625551171,153182.0,1735.0,0.0,0.0,0.0,22.0,26.0,41.0,0.0,63.0,80.0,128.0,137.0,1238.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6503.0,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2024,35.1,34.4,88.7,23.8,736.0,89.1,0.9,1840.0,10.1,29.7,5.1,29.0,25.3,1.1,13.5,35.5,37.1,7.8,70.1,94.0,0.7885703578630185,0.5226036612987716,0.5984771053748413,139531.0,1695.0,0.0,0.0,26.0,17.0,15.0,0.0,0.0,0.0,165.0,183.0,251.0,1038.0,0.015339233038348,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6503.0,Maine East High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2025,37.4,59.3,93.6,43.1,736.0,88.7,1.5,1912.0,10.8,31.2,5.3,31.8,25.1,0.8,12.1,33.9,34.8,7.8,74.1,92.3,0.7828371078077657,0.5053128806800504,0.5947474157648664,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5485.0,Maine South High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2016,3.6,47.9,95.4,33.5,,94.0,0.3,2390.0,3.2,2.6,0.3,0.5,8.8,0.3,13.2,7.8,85.5,,78.7,92.6,0.7582594210265702,0.575559100801645,0.6026948148460517,88036.0,1375.0,9.0,9.0,11.0,45.0,28.0,32.0,10.0,9.0,92.0,157.0,161.0,812.0,0.021090909,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
5485.0,Maine South High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2017,6.0,65.3,93.9,66.4,,93.2,0.1,2401.0,1.8,3.2,0.5,0.7,8.4,0.1,12.6,7.6,84.0,,80.5,91.8,0.7865127144466507,0.6084814665314048,0.6303904112872264,99563.0,1343.0,8.0,8.0,11.0,11.0,28.0,34.0,0.0,0.0,108.0,115.0,96.0,924.0,0.0201042442293373,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
5485.0,Maine South High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2018,19.4,64.2,96.8,65.5,,91.1,0.4,2397.0,1.8,3.1,0.6,0.8,8.1,,11.1,7.3,85.0,,,92.4,0.7864616524779631,0.5877897656269258,0.6230274556540557,113576.0,1341.0,0.0,9.0,11.0,0.0,28.0,7.0,0.0,0.0,103.0,105.0,102.0,976.0,0.0149142431021625,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
5485.0,Maine South High School,Maine Township HSD 207,Cook,HIGH SCHOOL,Grade 9 - 12,2019,17.1,62.4,94.1,64.3,566.0,93.8,0.6,2391.0,2.1,3.3,0.6,1.0,8.2,0.2,10.8,6.4,85.5,3.4,,93.1,0.7839074603594075,0.5542569409271805,0.6247704774800023,117500.0,1308.0,0.0,8.0,10.0,0.0,17.0,8.0,0.0,27.0,107.0,58.0,94.0,979.0,0.0137614678899082,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
