school_id,school_name,district,county,school_type,grades_served,year,y_chronic_abs,y_ela_prof,y_grad_4yr,y_math_prof,x_ap_coursework,x_attendance_rate,x_dropout_rate,x_enrollment,x_mobility_rate,x_pct_asian,x_pct_black,x_pct_el,x_pct_hispanic,x_pct_homeless,x_pct_iep,x_pct_low_income,x_pct_white,x_suspension_rate,x_teacher_attendance,x_teacher_retention
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Cook,High School,12-Sep,2024,34.3,29.8,84.0,23.0,704.0,89.2,1.9,1820.0,10.3,10.3,2.5,18.4,45.9,2.1,11.5,27.2,37.6,6.3,75.2,94.4
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Cook,High School,12-Sep,2025,37.6,57.5,91.2,39.7,704.0,88.2,2.8,1800.0,8.8,11.5,3.1,20.3,44.3,1.7,11.6,25.7,37.0,6.3,79.4,93.6
05-016-2110-17-0001,J B Conant High School           ,Township HSD 211                 ,Cook       ,High School,9 - 12,2016,0.9,46.4,92.2,27.3,,95.4,0.5,1.0,3.4,24.7,3.8,,15.2,1.3,10.8,3.2,52.9,,84.2,91.8
05-016-2110-17-0001,J B Conant High School           ,Township HSD 211                 ,Cook       ,High School,9 - 12,2017,1.2,56.1,94.8,62.2,,95.1,0.1,1.0,2.9,25.3,3.8,,16.4,1.1,10.2,3.4,50.6,,89.4,93.2
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL,9 - 12,2018,11.2,50.8,96.7,58.6,,95.3,0.4,2349.0,3.0,26.5,4.9,4.2,16.8,1.4,6.4,26.9,48.2,,,91.7
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2019,8.0,49.3,97.7,57.9,839.0,96.3,1.2,2334.0,4.1,27.6,4.3,4.1,17.5,1.2,7.5,27.9,46.9,112.0,,94.0
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2020,9.0,,96.4,,1047.0,96.0,0.7,2346.0,3.8,28.3,3.8,5.5,18.6,1.1,7.1,26.0,45.7,140.0,,92.5
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2021,5.7,48.9,96.8,51.6,1047.0,97.7,0.7,2375.0,2.8,28.7,3.6,5.3,18.2,0.9,6.7,26.8,45.9,140.0,,96.2
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL,12-Sep,2022,15.5,45.8,96.0,55.0,,94.4,0.5,2401.0,4.8,29.0,4.0,6.4,18.1,0.7,7.3,24.7,45.6,,,95.1
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,HIGH SCHOOL,12-Sep,2023,20.3,53.4,96.7,57.0,1047.0,92.8,0.7,2449.0,6.1,29.3,3.8,8.7,19.4,1.1,6.7,29.5,43.6,140.0,,96.2
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,High School,12-Sep,2024,15.3,47.5,95.6,53.3,971.0,93.9,1.1,2525.0,4.6,29.3,3.7,12.3,18.6,1.0,5.9,33.9,44.3,3.5,85.6,96.0
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,High School,12-Sep,2025,17.7,69.3,94.7,64.6,971.0,93.4,1.3,2560.0,7.4,29.2,3.1,14.3,19.6,0.7,5.9,34.7,42.6,3.5,83.9,97.0
05-016-2110-17-0002,Wm Fremd High School             ,Township HSD 211                 ,Cook       ,High School,9 - 12,2016,0.5,51.2,93.3,15.6,,95.7,0.1,1.0,1.8,23.6,2.8,,8.9,0.7,10.8,3.2,61.9,,82.2,94.4
05-016-2110-17-0002,Wm Fremd High School             ,Township HSD 211                 ,Cook       ,High School,9 - 12,2017,0.8,69.5,97.0,69.1,,95.2,0.3,1.0,2.9,25.7,1.9,,9.3,0.5,10.2,3.4,60.5,,88.8,94.3
05-016-2110-17-0002,Wm Fremd High School,Township HSD 211,Cook,HIGH SCHOOL,9 - 12,2018,11.1,68.6,97.9,71.4,,95.5,0.5,2594.0,2.5,28.8,2.3,3.4,10.7,0.5,6.4,15.0,55.5,,,95.2
05-016-2110-17-0002,Wm Fremd High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2019,5.7,61.1,96.3,69.4,955.0,97.1,0.9,2576.0,2.8,30.1,2.5,3.3,10.4,0.3,6.5,15.1,54.1,79.0,,96.0
05-016-2110-17-0002,Wm Fremd High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2020,6.3,,96.8,,1239.0,96.5,0.8,2572.0,2.9,31.2,2.6,3.9,9.8,0.2,6.4,14.6,53.3,108.0,,96.6
05-016-2110-17-0002,Wm Fremd High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2021,3.8,62.4,95.6,61.1,1239.0,98.0,0.9,2583.0,2.4,32.2,3.1,4.1,10.3,0.4,6.6,16.6,50.8,108.0,,95.9
05-016-2110-17-0002,Wm Fremd High School,Township HSD 211,Cook,HIGH SCHOOL,12-Sep,2022,12.6,59.8,95.0,67.7,,95.0,0.6,2633.0,4.9,32.3,4.2,4.3,10.6,0.5,7.4,16.8,49.2,,,96.1
05-016-2110-17-0002,Wm Fremd High School,Township HSD 211,Cook,HIGH SCHOOL,12-Sep,2023,14.2,63.1,94.4,64.1,1239.0,94.4,1.0,2632.0,4.5,32.2,4.5,6.7,12.1,1.0,7.2,19.7,46.9,108.0,,96.2
05-016-2110-17-0002,Wm Fremd High School,Township HSD 211,Cook,High School,12-Sep,2024,11.3,60.2,95.8,61.1,1267.0,94.9,0.4,2568.0,5.6,32.3,4.1,9.0,13.9,0.7,7.3,22.3,45.4,2.0,82.4,97.1
05-016-2110-17-0002,Wm Fremd High School,Township HSD 211,Cook,High School,12-Sep,2025,11.4,75.6,94.7,71.8,1267.0,94.9,0.4,2601.0,7.4,33.1,3.7,10.8,13.4,0.8,7.1,22.2,45.3,2.0,81.5,96.5
05-016-2110-17-0003,Palatine High School             ,Township HSD 211                 ,Cook       ,High School,9 - 12,2016,3.8,32.1,90.2,7.7,,93.4,1.5,1.0,5.0,7.9,5.6,,41.9,3.2,10.8,3.2,42.7,,79.8,94.7
05-016-2110-17-0003,Palatine High School             ,Township HSD 211                 ,Cook       ,High School,9 - 12,2017,3.9,40.4,90.2,36.9,,93.1,1.9,1.0,5.7,7.9,4.8,,44.1,2.6,10.2,3.4,41.0,,82.2,94.8
05-016-2110-17-0003,Palatine High School,Township HSD 211,Cook,HIGH SCHOOL,9 - 12,2018,19.5,37.4,91.6,40.3,,93.4,0.8,2587.0,4.4,8.1,5.2,9.7,45.3,2.6,11.9,55.0,38.7,,,95.9
05-016-2110-17-0003,Palatine High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2019,14.9,37.6,89.6,38.1,792.0,95.0,2.2,2566.0,6.8,7.8,5.0,11.3,46.1,3.2,12.1,55.0,38.3,329.0,,97.2
05-016-2110-17-0003,Palatine High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2020,22.5,,92.9,,829.0,92.9,1.9,2630.0,5.9,8.1,5.3,14.1,46.1,3.7,11.0,56.2,37.9,234.0,,98.0
05-016-2110-17-0003,Palatine High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2021,12.5,29.6,90.6,26.5,829.0,95.3,1.7,2569.0,4.2,8.3,5.2,15.2,47.5,2.8,11.0,56.2,36.5,234.0,,97.4
05-016-2110-17-0003,Palatine High School,Township HSD 211,Cook,HIGH SCHOOL,12-Sep,2022,26.1,30.0,88.5,30.3,,91.7,2.8,2626.0,8.1,8.0,5.0,18.7,48.8,3.8,11.8,52.2,35.7,,,96.4
05-016-2110-17-0003,Palatine High School,Township HSD 211,Cook,HIGH SCHOOL,12-Sep,2023,31.6,26.9,89.7,26.4,829.0,89.5,1.7,2608.0,8.6,6.9,5.6,21.9,50.7,4.4,11.7,58.0,33.7,234.0,,96.5
05-016-2110-17-0003,Palatine High School,Township HSD 211,Cook,High School,12-Sep,2024,28.9,29.4,89.0,27.5,840.0,90.0,2.9,2525.0,11.3,7.0,5.5,26.0,50.6,4.6,11.8,61.5,33.5,8.3,86.1,96.1
05-016-2110-17-0003,Palatine High School,Township HSD 211,Cook,High School,12-Sep,2025,28.5,50.9,90.2,39.8,840.0,90.5,2.4,2499.0,11.1,7.3,6.0,29.0,51.1,5.3,12.0,62.0,31.5,8.3,80.4,95.6
05-016-2110-17-0004,Schaumburg High School           ,Township HSD 211                 ,Cook       ,High School,9 - 12,2016,1.2,40.0,90.2,19.2,,94.3,0.6,1.0,3.7,15.3,6.5,,21.2,1.7,10.8,3.2,52.3,,79.3,93.8
05-016-2110-17-0004,Schaumburg High School           ,Township HSD 211                 ,Cook       ,High School,9 - 12,2017,1.1,49.3,95.6,51.1,,94.2,0.5,1.0,3.4,15.9,5.6,,21.9,1.6,10.2,3.4,51.6,,87.8,93.1
05-016-2110-17-0004,Schaumburg High School,Township HSD 211,Cook,HIGH SCHOOL,9 - 12,2018,13.8,48.4,94.8,57.3,,94.9,0.6,2116.0,3.9,17.1,5.6,4.6,22.4,0.8,8.2,31.6,49.8,,,93.0
05-016-2110-17-0004,Schaumburg High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2019,8.3,42.9,93.2,52.2,600.0,96.3,1.4,2095.0,4.4,18.4,5.5,4.9,23.3,0.9,8.7,32.8,48.5,116.0,,94.8
05-016-2110-17-0004,Schaumburg High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2020,12.0,,96.1,,852.0,94.9,0.8,2138.0,4.3,18.0,5.5,5.6,23.9,1.5,7.9,31.7,48.4,141.0,,97.2
05-016-2110-17-0004,Schaumburg High School,Township HSD 211,Cook,HIGH SCHOOL, 9 10 11 12,2021,8.3,40.2,96.0,48.5,852.0,96.6,0.6,2187.0,3.9,18.1,5.6,5.4,24.6,1.6,7.6,33.7,47.4,141.0,,97.4
05-016-2110-17-0004,Schaumburg High School,Township HSD 211,Cook,HIGH SCHOOL,12-Sep,2022,14.9,38.9,93.1,50.2,,94.4,0.8,2192.0,5.3,17.3,5.1,5.2,24.4,1.8,8.2,29.5,48.6,,,97.7
05-016-2110-17-0004,Schaumburg High School,Township HSD 211,Cook,HIGH SCHOOL,12-Sep,2023,19.9,41.5,92.0,49.4,852.0,92.8,0.9,2274.0,4.3,17.2,4.5,6.4,25.9,1.5,7.3,34.4,47.3,141.0,,98.0
